reviews,cleaned_review,compound_score,label
"here is my review after 2 days of useDisplay:- 4/5Upgarded from iPhone 7 , it has OLED display that is really very good & FHD . But in sunlight it has been struggling.Camera:- 4/5Although it has 2 camera but you will not notice any big difference in daylight. Somewhat differ in Low Light.2nd camera is for ultrawideSelfie camera is really very good.Video:- 5/5 dolby vision hdr is very good , but it is limited to only ur device. Not work for social media post (instagram)Battery:- 3/5Attached screen shot 100 to 6 percentProvide you about 6hr of screen time.Compact & very light in weightUsing samsung 15 W chargerFrom 6 to 80 percent it has been taken 66 minute.Back side glass getting hot while charge and even while using youtube. When use Camera it is super hot. Need to be solve this issueIf you have iPhone 11 then wait for next genNot worthy to pay 20-30 extra for only OLED displayUpdate you more after using it about a week.",review days usedisplay 5upgarded iphone oled display really good fhd sunlight struggling camera 5although camera notice big difference daylight somewhat differ low light 2nd camera ultrawideselfie camera really good video dolby vision hdr good limited ur device work social media post instagram battery 5attached screen shot percentprovide 6hr screen time compact light weightusing samsung w chargerfrom percent taken minute back side glass getting hot charge even using youtube use camera super hot need solve issueif iphone wait next gennot worthy pay extra oled displayupdate using week,0.9225,positive
I just say that this phone is awesome.. Small phone.. easy to use and it fit in pocket easily.. I must say one thing if you are confused in iPhone 12 and iPhone 12 mini then if you ll use phone as primary then go for iPhone 12 and if you ll use phone as secondary then go for iPhone 12 mini.. Like my primary phone is OnePlus 8T and secondary is iPhone 12 mini..And one more thing.. Battery backup is decent.. You can use one day easily if you are not a hard core gamer..,say phone awesome small phone easy use fit pocket easily must say one thing confused iphone iphone mini use phone primary go iphone use phone secondary go iphone mini like primary phone oneplus 8t secondary iphone mini one thing battery backup decent use one day easily hard core gamer,0.9201,positive
"Phone didn’t switch on. Battery is dead completely. I am a loyal I phone user. Didn’t expect from Apple to get a defective product.Adding to my agony, Amazon team is harassing me for replacement. First they need a report from apple team that I phone is defective and when I get that for replacement, Amazon delivery boy wants the phone to start so that he can inspect. There is no coordination between Amazon customer care and delivery team and now the delivery agent took the new phone back without giving me the replacement and I am again chasing Amazon team to send an email to delivery team to pick up the I phone and instruct them that defective phone will not get switched on. Buyers beware. This can happen to you.",phone ' switch battery dead completely loyal phone user ' expect apple get defective product adding agony amazon team harassing replacement first need report apple team phone defective get replacement amazon delivery boy wants phone start inspect coordination amazon customer care delivery team delivery agent took new phone back without giving replacement chasing amazon team send email delivery team pick phone instruct defective phone get switched buyers beware happen,-0.8733,negative
"This is DAM small and looks like dummy piece, performance wise my MI note 3 is better than this.Don,t buy this. They will not replace or refund as well",dam small looks like dummy piece performance wise mi note better buy replace refund well,0.8625,positive
"All in all good phone those who loves compact phones. I have identified few things those who complain about battery life. Try these to improve battery life,1) try mobile data, bluetooth when not needed. With these two being on, I noticed considerable battery drain.2) when you are in remote places, try put it in airplane mode. This keeps phone searching for the network all the time and drains battery.3) hey Siri, please turn off yourself. I don't use it anymore. Keeping Siri always on is not a good thing.This might help!",good phone loves compact phones identified things complain battery life try improve battery life try mobile data bluetooth needed two noticed considerable battery drain remote places try put airplane mode keeps phone searching network time drains battery hey siri please turn use anymore keeping siri always good thing might help,0.9313,positive
"Phone didn't work for one day even , worst customer service , worst amazon, they are not ready to replace even with in 7 days of purchase. NEVER BUY FROM THE SELLER",phone work one day even worst customer service worst amazon ready replace even days purchase never buy seller,-0.7184,negative
Awsome product Thanks to Amazon ...placed order in first day and delivery is very fast....Mini but Powerful...,awsome product thanks amazon placed order first day delivery fast mini powerful,0.7506,positive
"Don't buy mini. I have used personally and after watching youtube for 30 minutes, thermal throttling came into effect, screen dims and heavy battery drain. Better go for iphone 12.",buy mini used personally watching youtube minutes thermal throttling came effect screen dims heavy battery drain better go iphone,0.4404,positive
Screen is not responsive many times,screen responsive many times,0.3612,positive
"The phone looks perfect except the Battery back-up which only lasts for 3-4 hrs, I need to charge my handset 2-3 times a day. I have been using Iphone 6 for last 3 years but never experienced such issue until now.",phone looks perfect except battery back lasts hrs need charge handset times day using iphone last years never experienced issue,0.5719,positive
Our phone was missing form the box,phone missing form box,-0.296,negative
"A strange problem is visible. I am not able to pick up the incoming call after pasting the tempered glass on the screen. Once u remove the tempered glass, everything is fine. Apple should look into this.",strange problem visible able pick incoming call pasting tempered glass screen u remove tempered glass everything fine apple look,-0.4019,negative
"At the time of writing, self is using Apple default Apps and yet install my other apps like Bank, travel, e-commerce etc..With the above in mind, I would like to share that Mobile is very slow and hanging up frequently and further battery draining life is far below expectation. Overall these concerns are not expected either from Apple or Amazon brand.Kindly process return of the product and my refund.",time writing self using apple default apps yet install apps like bank travel e commerce etc mind would like share mobile slow hanging frequently battery draining life far expectation overall concerns expected either apple amazon brand kindly process return product refund,0.8779,positive
